"status","url","link text","redir","On page"
"200 no error","http://www.travel.dod.mil/Allowances/Currency-Fluctuations-Exchange-Rates/","Currency Fluctuations & Exchange Rates","","https://www.travel.dod.mil/"
"200 no error","http://www.travel.dod.mil/Allowances/Station-Allowance-Changes/","Station Allowance Changes","","https://www.travel.dod.mil/"
"200 no error","http://www.travel.dod.mil/Allowances/Temporary-Lodging-Allowance/","Temporary Lodging Allowance","","https://www.travel.dod.mil/"
"200 no error","http://www.travel.dod.mil/Allowances/Financial-Management-Regulation-Changes/","Financial Management Regulation Changes","","https://www.travel.dod.mil/"
"200 no error","http://www.travel.dod.mil/Training/","Training","","https://www.travel.dod.mil/"
"200 no error","http://www.travel.dod.mil/Training/eLearning/","eLearning","","https://www.travel.dod.mil/"
"200 no error","http://www.travel.dod.mil/Training/Reference-Materials/","Reference Materials","","https://www.travel.dod.mil/"
"200 no error","http://www.travel.dod.mil/Training/Instructor-Resources/","Instructor Resources","","https://www.travel.dod.mil/"
"200 no error","http://www.travel.dod.mil/Training/Instructor-Resources/DTS-Training-Resources/","DTS Training Resources","","https://www.travel.dod.mil/"
"200 no error","http://www.travel.dod.mil/Training/Instructor-Resources/MyTravel-Training-Resources/","MyTravel Training Resources","","https://www.travel.dod.mil/"
"200 no error","http://www.travel.dod.mil/Training/Instructor-Resources/Program-Policy-Training-Resources/","Program & Policy Training Resources","","https://www.travel.dod.mil/"
"200 no error","http://www.travel.dod.mil/Training/Training-Search/","Training Search","","https://www.travel.dod.mil/"
"200 no error","http://www.travel.dod.mil/Support/","Support","","https://www.travel.dod.mil/"
"200 no error","http://www.travel.dod.mil/Support/Frequently-Asked-Questions/","Frequently Asked Questions","","https://www.travel.dod.mil/"
"200 no error","http://www.travel.dod.mil/Support/Local-Level-Travel-Assistance/","Local Level Travel Assistance","","https://www.travel.dod.mil/"
"200 no error","http://www.travel.dod.mil/Support/Travel-Assistance-Center/","Travel Assistance Center","","https://www.travel.dod.mil/"
"200 no error","http://www.travel.dod.mil/Support/Recruit-Travel-Assistance/","Recruit Travel Assistance","","https://www.travel.dod.mil/"
"200 no error","http://www.travel.dod.mil/Support/Travel-Management-Company-Assistance/","Travel Management Company Assistance","","https://www.travel.dod.mil/"
"200 no error","https://www.travel.dod.mil/About/News/Article/Article/3406667/travel-volume-and-impact-on-tmcs/","[inline style url]","","https://www.travel.dod.mil/"
"200 no error","https://www.travel.dod.mil/About/News/Article/Article/3406667/travel-volume-and-impact-on-tmcs/","","","https://www.travel.dod.mil/"
"200 no error","http://www.travel.dod.mil/About/News/Article/Article/3331161/top-performers-recognized-for-excellence-in-practice-at-govtravels-2023/","[inline style url]","","https://www.travel.dod.mil/"
"200 no error","http://www.travel.dod.mil/About/News/Article/Article/3331161/top-performers-recognized-for-excellence-in-practice-at-govtravels-2023/","","","https://www.travel.dod.mil/"
"200 no error","https://www.travel.dod.mil/Programs/DoD-Dine-Smart/","[inline style url]","","https://www.travel.dod.mil/"
"200 no error","https://www.travel.dod.mil/Programs/DoD-Dine-Smart/","","","https://www.travel.dod.mil/"
"200 no error","https://www.travel.dod.mil/About/News/Article/Article/3359709/dod-preferred-now-in-the-washington-dc-area/","[inline style url]","","https://www.travel.dod.mil/"
"200 no error","https://www.travel.dod.mil/About/News/Article/Article/3359709/dod-preferred-now-in-the-washington-dc-area/","","","https://www.travel.dod.mil/"
"200 no error","https://www.travel.dod.mil/Programs/DoD-Travel-Systems/Constructed-Travel/","","","https://www.travel.dod.mil/"
"200 no error","https://www.travel.dod.mil/Programs/DoD-Travel-Systems/Constructed-Travel/","Constructed Travel","","https://www.travel.dod.mil/"
"200 no error","https://www.travel.dod.mil/Travel-Transportation-Rates/Per-Diem/Per-Diem-Rate-Lookup/","","","https://www.travel.dod.mil/"
"200 no error","https://www.travel.dod.mil/Travel-Transportation-Rates/Per-Diem/Per-Diem-Rate-Lookup/","Per Diem","","https://www.travel.dod.mil/"
"200 no error < 301 moved permanently","https://www.travel.dod.mil/passport","","https://www.defensetravel.dod.mil/neoaccess/login.php","https://www.travel.dod.mil/"
"200 no error < 301 moved permanently","https://www.travel.dod.mil/passport","TraX","https://www.defensetravel.dod.mil/neoaccess/login.php","https://www.travel.dod.mil/"
"200 no error","https://www.travel.dod.mil/Policy-Regulations/Joint-Travel-Regulations/","","","https://www.travel.dod.mil/"
"200 no error","https://www.travel.dod.mil/Policy-Regulations/Joint-Travel-Regulations/","Travel Regulations","","https://www.travel.dod.mil/"
"200 no error","https://www.travel.dod.mil/","travel.dod.mil","","https://www.travel.dod.mil/"
"200 no error","https://www.travel.dod.mil/About/","About","","https://www.travel.dod.mil/"
"200 no error","https://www.travel.dod.mil/About/News/","News","","https://www.travel.dod.mil/"
"200 no error","https://www.travel.dod.mil/About/News/RSS/","RSS","","https://www.travel.dod.mil/"
"200 no error","https://www.travel.dod.mil/Careers/","Careers","","https://www.travel.dod.mil/"
"200 no error","https://www.travel.dod.mil/Support/","Support","","https://www.travel.dod.mil/"
"200 no error","https://www.travel.dod.mil/Support/Frequently-Asked-Questions/","FAQs","","https://www.travel.dod.mil/"
"200 no error","https://www.travel.dod.mil/About/Contact-Us/","Contact Us","","https://www.travel.dod.mil/"
"200 no error","https://www.travel.dod.mil/DTMO-Site-Map/","Site Map","","https://www.travel.dod.mil/"
"200 no error","https://www.travel.dod.mil/External-Links-Disclaimer/","External Hyperlinks Disclaimer","","https://www.travel.dod.mil/"
"200 no error","https://www.travel.dod.mil/Privacy-and-Security-Statement/","Privacy & Security Statement","","https://www.travel.dod.mil/"
"200 no error","http://www.travel.dod.mil/","","","https://www.travel.dod.mil/Programs/DoD-Dine-Smart/"
"200 no error","http://www.travel.dod.mil/About/","About","","https://www.travel.dod.mil/Programs/DoD-Dine-Smart/"
"200 no error","http://www.travel.dod.mil/About/Leadership/","Leadership","","https://www.travel.dod.mil/Programs/DoD-Dine-Smart/"
"200 no error","http://www.travel.dod.mil/About/Governance/","Governance","","https://www.travel.dod.mil/Programs/DoD-Dine-Smart/"
"200 no error","http://www.travel.dod.mil/About/News/","News","","https://www.travel.dod.mil/Programs/DoD-Dine-Smart/"
